MORGE Maxime;MANCARELLA Paolo;2010
ABI-HAIDAR Alaa;ROCHA Luis M.;2010
MIZUTANI Tetsuya;IGARASHI Shigeru;2010
MIZUTANI Tetsuya;SUZUKI Tatsuo;2010
MIZUTANI Tetsuya;IKEDA Yasuwo;2010
MIZUTANI Tetsuya;SHIO Masayuki;2010
IGARASHI Shigeru;SUZUKI Tatsuo;2010
IGARASHI Shigeru;IKEDA Yasuwo;2010
IGARASHI Shigeru;SHIO Masayuki;2010
SUZUKI Tatsuo;IKEDA Yasuwo;2010
SUZUKI Tatsuo;SHIO Masayuki;2010
IKEDA Yasuwo;SHIO Masayuki;2010
PYTEL Krzysztof;NAWARYCZ Tadeusz;2010
KOTULSKI Leszek;SEDZIWY Adam;2010
GRZANEK Konrad;CADER Andrzej;2010
IRVINE David;GONGORA Mario A.;2010
KACALAK Wojciech;MAJEWSKI Maciej;2010
KACALAK Wojciech;ZURADA Jacek M.;2010
MAJEWSKI Maciej;ZURADA Jacek M.;2010
WALEDZIK Karol;MANDZIUK Jacek;2010
WIAK Slawomir;KOSIOROWSKI Przemyslaw;2010
LARKMAN Deane;MOHAMMADIAN Masoud;2010
LARKMAN Deane;BALACHANDRAN Bala;2010
LARKMAN Deane;JENTZSCH Ric;2010
MOHAMMADIAN Masoud;BALACHANDRAN Bala;2010
MOHAMMADIAN Masoud;JENTZSCH Ric;2010
BALACHANDRAN Bala;JENTZSCH Ric;2010
DEBENHAM John;SIERRA Carles;2010
ALMEIDA Ana;COELHO Bruno;2010
ALMEIDA Ana;MARTINS Constantino;2010
COELHO Bruno;MARTINS Constantino;2010
BEN MOHAMED Khalil;LECLERE Michel;2010
BEN MOHAMED Khalil;MUGNIER Marie-Laure;2010
LECLERE Michel;MUGNIER Marie-Laure;2010
ALVAREZ-NAPAGAO Sergio;GOMEZ-SEBASTIA Ignasi;2010
ALVAREZ-NAPAGAO Sergio;VAZQUEZ-SALCEDA Javier;2010
ALVAREZ-NAPAGAO Sergio;KOCH Fernando;2010
GOMEZ-SEBASTIA Ignasi;VAZQUEZ-SALCEDA Javier;2010
GOMEZ-SEBASTIA Ignasi;KOCH Fernando;2010
VAZQUEZ-SALCEDA Javier;KOCH Fernando;2010
GOMEZ-SEBASTIA Ignasi;GARCIA-GASULLA Dario;2010
GOMEZ-SEBASTIA Ignasi;BARRUE Cristian;2010
GOMEZ-SEBASTIA Ignasi;VAZQUEZ-SALCEDA Javier;2010
GOMEZ-SEBASTIA Ignasi;CORTES Ulises;2010
GARCIA-GASULLA Dario;BARRUE Cristian;2010
GARCIA-GASULLA Dario;VAZQUEZ-SALCEDA Javier;2010
GARCIA-GASULLA Dario;CORTES Ulises;2010
BARRUE Cristian;VAZQUEZ-SALCEDA Javier;2010
BARRUE Cristian;CORTES Ulises;2010
VAZQUEZ-SALCEDA Javier;CORTES Ulises;2010
PATKOS Theodore;CHRYSAKIS Ioannis;2010
PATKOS Theodore;BIKAKIS Antonis;2010
PATKOS Theodore;PLEXOUSAKIS Dimitris;2010
PATKOS Theodore;ANTONIOU Grigoris;2010
CHRYSAKIS Ioannis;BIKAKIS Antonis;2010
CHRYSAKIS Ioannis;PLEXOUSAKIS Dimitris;2010
CHRYSAKIS Ioannis;ANTONIOU Grigoris;2010
BIKAKIS Antonis;PLEXOUSAKIS Dimitris;2010
BIKAKIS Antonis;ANTONIOU Grigoris;2010
PLEXOUSAKIS Dimitris;ANTONIOU Grigoris;2010
PIETRUSZKIEWICZ Wieslaw;DZEGA Dorota;2010
KOROKITHAKIS Stavros;LAGOUDAKIS Michail G.;2010
VILLAMIRA Marco;CIPRESSO Pietro;2010
PINTO Paolo;DELLA PENNA Mauro;2010
PINTO Paolo;GENUA Emanuela;2010
PINTO Paolo;MERCURIO Maurizio;2010
PINTO Paolo;MEMMOLO Pasquale;2010
DELLA PENNA Mauro;GENUA Emanuela;2010
DELLA PENNA Mauro;MERCURIO Maurizio;2010
DELLA PENNA Mauro;MEMMOLO Pasquale;2010
GENUA Emanuela;MERCURIO Maurizio;2010
GENUA Emanuela;MEMMOLO Pasquale;2010
MERCURIO Maurizio;MEMMOLO Pasquale;2010
BORGES Rafael V.;GARCEZ Artur d'Avila;2010
BORGES Rafael V.;LAMB Luis C.;2010
GARCEZ Artur d'Avila;LAMB Luis C.;2010
GRUETTNER Mandy;SEHNKE Frank;2010
GRUETTNER Mandy;SCHAUL Tom;2010
GRUETTNER Mandy;SCHMIDHUBER Juergen;2010
SEHNKE Frank;SCHAUL Tom;2010
SEHNKE Frank;SCHMIDHUBER Juergen;2010
SCHAUL Tom;SCHMIDHUBER Juergen;2010
ALONSO Luciano;PEREZ-ORIA Juan;2010
ALONSO Luciano;FERNANDEZ Monica;2010
ALONSO Luciano;RODRIGUEZ Cristina;2010
ALONSO Luciano;ARCE Jesus;2010
ALONSO Luciano;IBARRA Manuel;2010
ALONSO Luciano;ORDONEZ Victor;2010
PEREZ-ORIA Juan;FERNANDEZ Monica;2010
PEREZ-ORIA Juan;RODRIGUEZ Cristina;2010
PEREZ-ORIA Juan;ARCE Jesus;2010
PEREZ-ORIA Juan;IBARRA Manuel;2010
PEREZ-ORIA Juan;ORDONEZ Victor;2010
FERNANDEZ Monica;RODRIGUEZ Cristina;2010
FERNANDEZ Monica;ARCE Jesus;2010
FERNANDEZ Monica;IBARRA Manuel;2010
FERNANDEZ Monica;ORDONEZ Victor;2010
RODRIGUEZ Cristina;ARCE Jesus;2010
RODRIGUEZ Cristina;IBARRA Manuel;2010
RODRIGUEZ Cristina;ORDONEZ Victor;2010
ARCE Jesus;IBARRA Manuel;2010
ARCE Jesus;ORDONEZ Victor;2010
IBARRA Manuel;ORDONEZ Victor;2010
LANARIDIS Aris;STAFYLOPATIS Andreas;2010
PETRAKIS Stelios;TEFAS Anastasios;2010
KYRIAKIDIS Ioannis;KARATZAS Kostas;2010
KYRIAKIDIS Ioannis;PAPADOURAKIS George;2010
KARATZAS Kostas;PAPADOURAKIS George;2010
BIGNOLI Perrin G.;CASSIMATIS Nicholas L.;2010
BIGNOLI Perrin G.;MURUGESAN Arthi;2010
